leg_state,treat_out,response,leg_democrat,leg_race,leg_gen
AK,0,0,0,1,0
AK,0,1,0,1,1
AK,0,1,0,1,1
AK,0,1,0,4,0
AK,1,1,1,4,0
AK,1,0,0,1,0
AK,1,1,1,1,0
AK,0,0,1,6,0
AK,0,1,0,1,0
AK,1,0,1,4,0
AK,0,1,1,1,0
AK,1,0,1,1,0
AK,1,0,0,1,1
AK,0,1,0,1,0
AK,1,0,0,1,0
AK,0,1,1,1,0
AK,1,0,1,1,0
AK,1,0,0,1,0
AK,1,1,0,1,0
AK,0,1,0,1,0
AK,0,1,1,4,0
AK,0,1,1,4,0
AK,1,1,0,1,0
AK,1,1,0,1,0
AK,0,0,0,1,0
AK,0,1,0,1,0
AK,0,1,0,1,0
AK,1,0,0,1,0
AK,0,0,0,1,0
AK,1,1,0,1,1
AK,1,0,1,1,0
AK,1,1,1,1,0
AK,1,1,0,1,0
AK,1,0,0,1,0
AK,0,1,0,1,0
AK,0,1,0,1,0
AK,0,1,0,1,0
AK,0,1,1,4,0
AK,1,0,1,1,0
AK,0,1,1,4,0
AL,1,0,1,1,1
AL,1,0,1,1,0
AL,1,0,1,1,0
AL,1,0,1,1,0
AL,0,1,1,1,0
AL,1,0,0,1,0
AL,0,1,1,1,0
AL,1,0,1,1,0
AL,0,0,0,1,0
AL,1,1,1,1,0
AL,0,0,1,1,0
AL,1,0,1,1,0
AL,0,0,1,1,0
AL,0,0,0,1,0
AL,1,0,0,1,0
AL,1,0,1,1,0
AL,0,0,1,1,0
AL,0,0,1,1,0
AL,1,0,0,1,0
AL,0,0,0,1,1
AL,1,0,0,1,0
AL,1,0,1,1,0
AL,1,1,0,1,0
AL,1,0,1,1,0
AL,0,0,1,2,1
AL,0,0,0,1,0
AL,1,0,1,2,1
AL,0,1,1,1,0
AL,1,0,1,1,0
AL,0,0,1,1,0
AL,1,0,1,1,0
AL,0,0,0,1,0
AL,1,0,1,2,0
AL,1,0,0,1,0
AL,0,0,0,1,0
AL,1,0,1,1,0
AL,0,1,1,2,0
AL,0,1,1,1,0
AL,1,0,1,1,0
AL,1,0,1,2,0
AL,1,0,1,1,0
AL,1,0,0,1,1
AL,0,1,0,1,0
AL,0,0,1,1,0
AL,0,1,0,1,0
AL,1,0,1,2,1
AL,0,0,0,1,0
AL,0,0,0,1,0
AL,1,0,1,1,0
AL,0,1,0,1,0
AL,0,0,0,1,0
AL,0,1,1,1,0
AL,0,0,0,1,0
AL,1,1,1,1,0
AL,0,0,1,1,0
AL,0,0,0,1,0
AL,1,0,0,1,0
AL,1,0,0,1,0
AL,1,0,0,1,0
AL,1,1,0,1,0
AL,1,0,0,1,0
AL,1,0,0,1,0
AL,0,0,0,1,0
AL,1,0,1,2,0
AL,0,0,1,2,0
AL,0,0,1,2,1
AL,1,0,1,2,1
AL,0,1,1,1,0
AL,1,0,0,1,0
AL,1,0,0,1,0
AL,1,0,0,1,0
AL,1,1,0,1,0
AL,1,0,1,2,0
AL,1,0,1,2,0
AL,0,0,1,2,0
AL,0,0,1,2,0
AL,0,1,1,2,0
AL,0,0,1,2,0
AL,1,0,0,1,0
AL,1,0,0,1,0
AL,0,0,0,1,0
AL,0,0,1,2,0
AL,1,0,1,2,0
AL,1,0,1,2,0
AL,0,0,0,1,0
AL,0,0,1,1,0
AL,0,0,1,2,1
AL,0,0,1,2,0
AL,1,0,1,1,0
AL,1,0,1,2,0
AL,0,0,0,1,0
AL,1,0,0,1,0
AL,1,0,0,1,0
AL,0,0,1,1,0
AL,0,1,1,1,0
AL,0,0,1,1,0
AL,0,1,1,1,0
AL,0,0,0,1,0
AL,1,0,0,1,0
AL,1,0,0,1,0
AL,0,0,1,2,0
AL,0,0,0,1,0
AL,0,0,0,1,0
AL,0,0,0,1,0
AR,0,1,0,1,0
AR,0,0,1,1,0
AR,1,0,1,1,0
AR,0,0,0,1,1
AR,1,0,1,1,0
AR,1,0,1,2,0
AR,0,0,1,2,0
AR,1,0,1,1,0
AR,0,1,1,1,1
AR,0,0,1,1,0
AR,0,1,0,1,1
AR,0,1,1,1,0
AR,1,0,1,1,0
AR,0,0,1,2,0
AR,0,1,1,1,0
AR,1,0,1,1,0
AR,0,1,1,1,0
AR,0,1,1,1,0
AR,1,0,0,1,0
AR,1,0,1,1,1
AR,1,0,1,1,0
AR,0,1,1,1,0
AR,0,0,1,1,0
AR,1,1,1,2,0
AR,1,0,1,2,0
AR,0,1,1,2,1
AR,0,0,1,1,0
AR,1,0,1,1,1
AR,1,0,1,1,0
AR,0,1,1,1,1
AR,0,1,1,1,0
AR,0,1,1,1,0
AR,1,1,1,1,0
AR,0,0,1,1,0
AR,1,0,1,1,0
AR,0,0,1,1,0
AR,1,0,1,1,0
AR,0,1,1,1,0
AR,0,0,1,1,0
AR,0,1,1,1,0
AR,0,1,1,1,0
AR,1,1,1,1,1
AR,0,1,1,1,1
AR,0,1,0,1,1
AR,1,1,0,1,0
AR,0,0,0,1,0
AR,1,1,0,1,0
AR,0,0,1,1,1
AR,1,1,1,2,1
AR,1,0,0,1,0
AR,1,0,1,1,0
AR,0,0,1,1,0
AR,0,0,0,1,0
AR,1,1,0,1,1
AR,1,0,1,1,0
AR,0,1,1,1,0
AR,0,1,1,1,1
AR,0,0,1,1,0
AR,1,0,1,1,0
AR,0,1,0,1,0
AR,1,0,0,1,0
AR,0,1,1,1,0
AR,1,1,1,1,0
AR,1,0,1,2,1
AR,1,0,1,1,0
AR,0,0,1,2,0
AR,1,1,1,2,0
AR,1,0,1,1,0
AR,1,0,1,1,0
AR,1,0,1,1,0
AR,0,0,1,1,0
AR,0,0,1,1,0
AR,0,1,0,1,0
AR,0,1,0,1,0
AR,1,0,0,1,1
AR,1,0,1,1,1
AR,0,0,0,1,0
AR,0,1,1,1,0
AR,1,0,0,1,1
AR,1,0,1,1,0
AR,1,0,0,1,0
AR,1,0,1,1,0
AR,0,1,1,1,0
AR,0,1,1,1,1
AR,0,0,1,1,0
AR,0,1,1,1,1
AR,0,0,1,1,0
AR,1,0,1,1,0
AR,1,0,1,1,0
AR,0,1,0,1,1
AR,1,0,0,1,1
AR,0,0,1,1,0
AR,0,0,0,1,0
AR,1,0,0,1,0
AR,0,1,1,1,0
AR,1,0,1,1,0
AR,1,0,0,1,0
AR,1,0,0,1,0
AR,1,0,1,1,1
AR,1,1,0,1,0
AR,1,0,0,1,0
AR,0,0,0,1,0
AR,0,1,0,1,1
AR,1,0,0,1,0
AR,0,1,0,1,1
AR,0,1,0,1,0
AR,0,0,0,1,1
AZ,1,1,0,1,0
AZ,1,0,0,1,1
AZ,0,1,0,1,0
AZ,0,1,0,1,1
AZ,1,1,0,1,1
AZ,0,1,0,1,0
AZ,0,1,0,1,1
AZ,1,0,0,1,0
AZ,1,0,0,1,0
AZ,0,0,0,1,0
AZ,0,1,1,1,0
AZ,0,1,0,1,1
AZ,1,0,0,1,0
AZ,0,0,0,1,0
AZ,0,1,0,1,1
AZ,0,1,0,1,0
AZ,1,1,0,1,1
