id,wave,age,female,voted_gen_14,voted_gen_12,treat_ind,racename,democrat,therm_trans,therm_obama
1,Baseline,19,1,1,0,Cont.,African American,0,50,75
1,3 days,19,1,1,0,Cont.,African American,0,,
1,21 days,19,1,1,0,Cont.,African American,0,,
1,42 days,19,1,1,0,Cont.,African American,0,,
1,90 days,19,1,1,0,Cont.,African American,0,,
2,Baseline,58,1,1,1,Cont.,African American,1,50,100
2,3 days,58,1,1,1,Cont.,African American,1,,
2,21 days,58,1,1,1,Cont.,African American,1,,
2,42 days,58,1,1,1,Cont.,African American,1,,
2,90 days,58,1,1,1,Cont.,African American,1,,
3,Baseline,29,0,0,1,Cont.,African American,1,0,83
3,3 days,29,0,0,1,Cont.,African American,1,3,71
3,21 days,29,0,0,1,Cont.,African American,1,29,50
3,42 days,29,0,0,1,Cont.,African American,1,5,
3,90 days,29,0,0,1,Cont.,African American,1,,
4,Baseline,59,1,1,0,Treat.,African American,1,100,100
4,3 days,59,1,1,0,Treat.,African American,1,97,100
4,21 days,59,1,1,0,Treat.,African American,1,86,100
4,42 days,59,1,1,0,Treat.,African American,1,62,
4,90 days,59,1,1,0,Treat.,African American,1,,
5,Baseline,35,1,1,1,Treat.,African American,1,50,100
5,3 days,35,1,1,1,Treat.,African American,1,100,100
5,21 days,35,1,1,1,Treat.,African American,1,100,100
5,42 days,35,1,1,1,Treat.,African American,1,100,
5,90 days,35,1,1,1,Treat.,African American,1,99,94
6,Baseline,51,1,1,1,Treat.,African American,1,50,95
6,3 days,51,1,1,1,Treat.,African American,1,,
6,21 days,51,1,1,1,Treat.,African American,1,,
6,42 days,51,1,1,1,Treat.,African American,1,,
6,90 days,51,1,1,1,Treat.,African American,1,,
7,Baseline,72,1,1,1,Cont.,African American,0,50,100
7,3 days,72,1,1,1,Cont.,African American,0,,
7,21 days,72,1,1,1,Cont.,African American,0,,
7,42 days,72,1,1,1,Cont.,African American,0,,
7,90 days,72,1,1,1,Cont.,African American,0,,
8,Baseline,63,1,1,1,Treat.,African American,1,50,100
8,3 days,63,1,1,1,Treat.,African American,1,50,100
8,21 days,63,1,1,1,Treat.,African American,1,50,50
8,42 days,63,1,1,1,Treat.,African American,1,50,
8,90 days,63,1,1,1,Treat.,African American,1,50,100
9,Baseline,65,0,1,1,Treat.,African American,0,50,100
9,3 days,65,0,1,1,Treat.,African American,0,50,100
9,21 days,65,0,1,1,Treat.,African American,0,50,100
9,42 days,65,0,1,1,Treat.,African American,0,49,
9,90 days,65,0,1,1,Treat.,African American,0,,
10,Baseline,51,1,1,1,Cont.,Caucasian,0,47,0
10,3 days,51,1,1,1,Cont.,Caucasian,0,30,0
10,21 days,51,1,1,1,Cont.,Caucasian,0,50,9
10,42 days,51,1,1,1,Cont.,Caucasian,0,50,
10,90 days,51,1,1,1,Cont.,Caucasian,0,50,0
11,Baseline,18,0,0,0,Cont.,Hispanic,0,54,100
11,3 days,18,0,0,0,Cont.,Hispanic,0,,
11,21 days,18,0,0,0,Cont.,Hispanic,0,,
11,42 days,18,0,0,0,Cont.,Hispanic,0,,
11,90 days,18,0,0,0,Cont.,Hispanic,0,,
12,Baseline,26,1,1,1,Cont.,African American,1,74,75
12,3 days,26,1,1,1,Cont.,African American,1,50,74
12,21 days,26,1,1,1,Cont.,African American,1,50,50
12,42 days,26,1,1,1,Cont.,African American,1,50,
12,90 days,26,1,1,1,Cont.,African American,1,50,77
13,Baseline,45,1,0,1,Cont.,Hispanic,1,100,100
13,3 days,45,1,0,1,Cont.,Hispanic,1,,
13,21 days,45,1,0,1,Cont.,Hispanic,1,,
13,42 days,45,1,0,1,Cont.,Hispanic,1,,
13,90 days,45,1,0,1,Cont.,Hispanic,1,,
14,Baseline,18,1,0,0,Cont.,Hispanic,1,100,100
14,3 days,18,1,0,0,Cont.,Hispanic,1,,
14,21 days,18,1,0,0,Cont.,Hispanic,1,,
14,42 days,18,1,0,0,Cont.,Hispanic,1,,
14,90 days,18,1,0,0,Cont.,Hispanic,1,,
15,Baseline,62,1,1,1,Treat.,African American,1,76,100
15,3 days,62,1,1,1,Treat.,African American,1,84,100
