week,date,title, reading,content,tutorial,assignment
1,3/1/23,Introduction to the course,,/materials/01_intro,,
1,3/1/23,"R, Rstudio, and data visualization",MD Ch 1-2,/materials/01_intro,,
1,3/1/23,Tutorial 1 (R basic),,,/assignments/tutorials,
2,3/8/23,Tutorial 2 (Data wrangling),,,/assignments/tutorials,
2,3/8/23,Data wrangling,MD Ch 3,/materials/02_data_wrangling,,
2,3/8/23,Problem Set 1 due,,,,/assignments/01_hw_data_viz
3,3/15/23,Tutorial 3 (Causality),,,/assignments/tutorials,
3,3/15/23,"Causal inference, randomized experiments, and observational studies",QSS Ch 2.1-2.5,/materials/03_causality,,
3,3/15/23,Problem Set 2 due,,,,/assignments/02_hw_data_wrangling
4,3/22/23,Tutorial 4 (Summarizing data),,,/assignments/tutorials,
4,3/22/23,Summarizing data & Survey sampling,QSS Ch 2.6-3.4,/materials/04_measurement,,
4,3/22/23,Problem Set 3 due,,,,/assignments/03_hw_causality
5,3/29/23,Tutorial 5 (Correlation and Tidying),,,/assignments/tutorials,
5,3/29/23,Summarizing relationships in our data ,QSS Ch 3.5-3.6 & MD Ch4,/materials/05_bivariate_tidying,,
5,3/29/23,Data importing and tidy data,MD Ch4,,,
5,3/29/23,Problem Set 4 due,,,,/assignments/04_hw_summarizing
6,4/5/23,Prediction & Iteration,QSS  4.1 (except 4.1.2),/materials/06_prediction,,
6,4/5/23,Tutorial 6 (Loops),,,/assignments/tutorials,
6,4/5/23,Regression,MD Ch 5 or QSS 4.2 (except 4.2.5),/materials/06_prediction,,
7,4/9/23,Final Project Milestone 1,,,,assignments/final-project
7,4/12/23,Multiple regression,MD Ch 6.1-6.2 or QSS 4.3.1-4.3.2,/materials/07_regression,,
7,4/12/23,Interpreting regression,,/materials/07_regression,,
7,4/12/23,Tutorial 7 (Regression),,,/assignments/tutorials,
8,4/16/23,Final Project Milestone 2,,,,assignments/final-project
8,4/19/23,Sampling and sampling distribution,MD Ch 7,/materials/08_sampling,,
8,4/19/23,Problem Set 5 due,,,,/assignments/05_hw_regression
9,4/26/23,Tutorial 8 (Bootstrapping),,,/assignments/tutorials,
9,4/26/23,The bootstrap and confidence intervals,MD Ch 8/IMS Ch 12,/materials/09_bootstrap,,
9,4/26/23,Problem Set 6 due,,,,/assignments/06_hw_sampling
9,4/26/23,The bootstrap and confidence intervals,,/materials/09_bootstrap,,
10,5/3/23,Hypothesis testing,MD Ch 9/IMS Ch 11,/materials/10_hyp_tests,,
10,5/3/23,Problem Set 7 due,,,,/assignments/07_hw_bootstrap
10,5/3/23,Hypothesis testing,,/materials/10_hyp_tests,,
10,5/7/23,Final Project Milestone 3,,,,assignments/final-project
